,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
554,"""Business Devlopment""",I have been working at HP Inc. full-time,"Great Training
Good Culture
Fantastic Future Products
Great HR","Big company
Moves slow sometimes
Process driven",5.0,5.0,5.0,5.0,5.0
555,"""Great company to learn""",I worked at HP Inc. full-time for more than 3 years,Lot of opportunities to learn depending on the team,Work life balance depends on the team/project  you are in. I had to put in 12-14 hours development work in one team and had a good work life balance on another,3.0,4.0,4.0,4.0,4.0
556,"""I'm still running HP Inc in my veins""",I worked at HP Inc.  for more than 10 years,"Great company, great products, outstanding work environment and nice management team to work for. Great place to get personal development.  Highly innovative, world class technical level  and most of all extremely talented people.","Too slow on taking action and making changes. Managers take long time to modify their approach. When HP rolled out eliminating  ranking or rating the middle management adopt it on paper but found ways to rate people on ordinal manner  and still asked for forcing bottom performers.  There will always be a bottom  performer even if you build a dream team of previous high performers.  These people become a target for getting laid off instead of instead of letting people go because their skill is no longer needed,  they are a true low performer, or cost reduction. I left accepting a very good job offer and an amazing challenge otherwise I would gladly still be working at HP.",5.0,5.0,4.0,3.0,5.0
557,"""Great Co-Workers, Lousy Upper Management!""",I worked at HP Inc. full-time for more than 10 years,Great people to work with.  Flexibility. Tools needed to get the job done. Support from 1st level managers.,Stagnant Pay. Lack of trust in upper management. Huge inequality between upper management and individual contributors. Feeling of no connection between upper management and the people.,4.0,3.0,3.0,2.0,1.0
558,"""Good place for work-life balance""",I have been working at HP Inc. full-time,"good work-life balance
Work with smart people",Management slow moving and Outdated facilities,4.0,3.0,2.0,3.0,2.0
559,"""The HP Way is dead""",I worked at HP Inc. full-time for more than 10 years,"Very nice physical work environment
Tolerant corporate culture, accepting of all colors, creeds, and orientations","Relatively low pay.  Raises are rare and small, with performance being rewarded occasionally with the possibility of annual discretionary bonuses the amount of which depend on business conditions and management's whims. I saw my workload increase every year as people would be let go and not replaced with their duties just heaped upon the remaining workers.

Huge amount of office politics. The different business units do not co-operate and act like separate companies often in conflict.  When making decisions like supply chains or data systems the overall good of HP rarely mattered, only the effects on their own business unit were considered by the business unit's management. 

Lack of C-Level leadership. No vision.  Seemingly countless expensive and ultimately pointless, money losing acquisitions (Palm $1.2B, 3com $2.7B, EDS $13.9B, Autonomy $11B). HP culture is ossified, slow to respond, and resistant to change",1.0,4.0,3.0,2.0,1.0
560,"""Overall good company""",I worked at HP Inc. full-time for less than a year,"Overall good culture. and good, hard work, long hours, and the temptation in some groups for folks to not take vacations.   Good rules and procedures and people, but inconsistent application.   Stay while the ride is smooth, and leave if you don't like your boss or team chemistry.   You can always come back in a different role.","Still not a safe environment for innovation, but fixable, which companies such as IBM have solved in their own peculiar ways, which may not be right in all cases   Anonymous ethics and anti-corruption reporting can be abused with unjust results.",4.0,4.0,3.0,4.0,5.0
561,"""Options""",I have been working at HP Inc. full-time,"In my field I would be able to work for many employers, but I can't imagine finding an employer that's as flexible, stable, and progressive as HP Inc.",advancement path limited by geography & ability to relocate.,5.0,5.0,4.0,3.0,5.0
562,"""Great place to work""",I worked at HP Inc. ,"Great place to work with excellent team, managers etc.",I dont find any Cons.,,,,,
563,"""Don't Expect Career Guidance From Management""",I worked at HP Inc. full-time for less than a year,HP is good at promoting a work-life balance and everyone from VPs to custodians are friendly.  Very flexible if you need to work from home.,"Too many meetings!  You could have a full schedule just listening to meetings.  Also, HP isn't the place to work if you want management to take notice of you or take advantage of your strengths as an employee.  There are a million different roles at HP and no one to help guide you to the one that best fits you.  Employee success must be guided my management.",5.0,1.0,1.0,4.0,2.0
564,"""Neutral""",I have been working at HP Inc. full-time,Hours were not too demanding,Typical large company at the time,3.0,3.0,3.0,3.0,3.0
565,"""Great flexibility""",I worked at HP Inc. part-time,"Plenty of events going on all the time, lots of brilliant people, and flexibility.","Redundant work and processes, no true stock options that are discounted...no skin in the game for employees",4.0,4.0,3.0,4.0,4.0
566,"""Great Company""",I have been working at HP Inc. full-time for more than 10 years,"Great people, great atmosphere, tries for good work life balance, growth opportunities, worldwide company with good morale overall, annual reviews with focus on growth","Hiring can be limited depending on the group, adjusting to being a smaller company so some policies have not caught up yet - they will get there though, flat to declining markets but HP is growing",,,,,
567,"""Program Manager""",I worked at HP Inc. full-time,Good work life balance.   The people are friendly and willing to help.,No career path and no training.,5.0,3.0,2.0,2.0,3.0
568,"""Field Sales Insight""",I have been working at HP Inc. full-time for more than 5 years,Great Products.  Great People to work with.  Employees tend to stay for a very long time.,Poor systems to automate routine processes.  Poor reporting tools.  Poor career development.,4.0,5.0,4.0,4.0,5.0
569,"""Prepare to lose your family""",I have been working at HP Inc. full-time for more than a year,"Fair pay, not high or low. Functions at the facilities, mainly put on and organized by employees, but the company does add some to it. Can sometimes work from home, but this is largely used to get 12-16 hours a day and weekends out of people.","The running joke at HPI among thousands of employees is, ""The work / life balance is that work is your life now. That's the balance"". Prepare for required overtime, required working on Veterans Day (even if on a Saturday or Sunday), required working every single day straight for 19 days in November including Saturdays and Sundays in many departments (although not all). It's not a one time event, they actually plan to do this every single year. If you do not work overtime, you cannot keep up with workloads as they purposely plan to give more work than employees can do in 40 hours. Required working through vacations! Even on vacation, most positions it's required to check and respond to emails, even do file work for your position. I have never once had a real vacation off and a couple of them turned into regular 12 hour working days that I never even got to see my family except at dinner. Very strong political views. During the election I received more emails from executives about how evil and awful one side was than I did about HPI. It was depressing that I had to be bombarded at work constantly.",1.0,2.0,3.0,3.0,3.0
570,"""Bloated, and slipshod with aquisitions""",I worked at HP Inc. full-time for more than a year,"Good benefits and company discounts. We were acquired, so hard to distinguish between our companies benefits vs HP, although they did not change in any negative way. The Sunnyvale, Moffett location has an AMAZING gym. The company is so large, there are many opportunities for growth and experiences.","We had an outstanding company that was acquired by HP. We watched sales actually go down with their bloated and bureaucratic style of doing business. To be fair, we were a mid-sized, scrappy company, so some reduction in speed would be expected. But we also saw a lot of needless delay and disinterest in the things that our company got right. Don't buy small, profitable companies if you don't know what do do with them... My sentiment has been confirmed recently, as this company was sold off from HP several months ago. We all benefited from the sale, but it's sad to see that HP had no idea with what to do with the exceptional technology and model our company had created.",,,4.0,4.0,2.0
571,"""Outstanding People in a Fast Paced, Exciting Environment""",I have been working at HP Inc. full-time for more than 10 years,"Very High Quality People
High Standards of Conduct
Customer-Centric, with Exciting Products and Innovation
Global Company with a Lot of Opportunities
Open to New Ideas, and Willing to Take Chances
Outstanding Management Team
New Campus Being Built in Houston","Work/Life Balance Can Be Tough - Must Manage Yourself  Well
Fast Paced with a Lot of Change - It is the Tech Industry
A Lot of Meetings and Email - Need to Manage Your Time and Priorities Effectively
No Rotation or Development Plans - You Are On Your Own to Drive Your Career",3.0,5.0,5.0,5.0,5.0
572,"""Fun, but struggling and restructuring""",I worked at HP Inc. full-time for more than 3 years,"Everyone works together, amazing culture","No matter how well you work, you are never safe from restructuring.  Remember, it isn't you, it's business.",4.0,5.0,,,4.0
573,"""Long Time HP Employee""",I have been working at HP Inc. full-time for more than 10 years,"Best qualified people to work with in a collaborative company culture
HP  is recreating the HP way. It is an inclusive environment with active groups including Young Employee Network and a  professional  women's network
Total compensation is good,  Working in new 3D development big plus. Salary can be challenging","Long, effective work hours are needed to be successful in the company culture. Some programs  have unreasonable schedules, which can impact your personal life. Work / Life balance is your own responsibility, and sometimes drawing that line can feel difficult.  Good news, the process is being improved, but salary is still lower relative to the caliber of work being performed",2.0,5.0,4.0,3.0,5.0
574,"""Working at HP""",I have been working at HP Inc. full-time for more than 10 years,Great colleagues.  Fantastic team spirit.,Company Revenues have been shrinking for while and the focus from Management has been on Cost Savings.  The last few years have not been as enjoyable.,4.0,3.0,2.0,2.0,1.0
575,"""Senior Manager Corporate Accounting""",I worked at HP Inc. full-time,"Compensation and incentives
Career growth and mentoring
Challenging","Reduction in force were brutal
Extremely long hours",3.0,5.0,5.0,5.0,5.0
576,"""Calm workspace""",I have been working at HP Inc. full-time,Very calm and flexibility,No room for growth,,,,,
577,"""Worked there for 8 years""",I worked at HP Inc. ,"- Good benefits
- Able to work on your own","- Low pay compared to similar positions
 - Had a new manager every year",5.0,4.0,4.0,3.0,4.0
578,"""Training coordinator""",I have been working at HP Inc. full-time,"Good company overall, good teams","To big company, sometimes everything is too slow",4.0,5.0,4.0,3.0,4.0
579,"""Future of this company""",I have been working at HP Inc. full-time for more than 8 years,"most of team member are we very nice to work with
some good benefits","some team member like to keep original  the schedule, even meaning factory will impacted
not everyone like to follow the rules",2.0,4.0,4.0,4.0,4.0
580,"""My experience was rough. The company does seem more stable now- post split.""",I worked at HP Inc. full-time for more than 3 years,"Team Environment was always promoted
Relaxed Culture made for calm work environment","Work life balance was a struggle
Internal promotions were tough to receive
Constant layoffs made for a troublesome balance",1.0,4.0,2.0,2.0,2.0
581,"""A great place to work..""",I have been working at HP Inc. full-time,"The people,  the culture, the work life balance","The salary is mixed, some people on better than others",5.0,5.0,3.0,3.0,4.0
582,"""Loved it""",I worked at HP Inc. full-time for more than 5 years,"Big company, plenty of opportunity to move to new challenges","Big company, your contributions are not as impactful just because it's so big and there are so many coworkers",4.0,4.0,5.0,5.0,4.0
583,"""bagger""",I have been working at HP Inc. part-time,Some of the best reasons for this job is you get to approach tons off people. You get to interact with different customers. The working staff is very generous and friendly. They are always there to help you with any struggle you have. I would say that's the best grocery store you can ever work at for team work experience.,The downside of the job is the pay. The salary is good enough to take care of a few things. But its not enough to live off of. Sometimes it can get very frustrating when customers are complaining and nagging when there aren't enough of food or supply on the shelves. The workers there can sometime can get out of hand.,4.0,5.0,5.0,4.0,3.0
584,"""And amazing company with a couple of bad leaders...""",I worked at HP Inc. full-time for more than 5 years,"Amazing place to work, people that really inspired me to be better and welcome me as part of an amazing team","A couple of bad apples in the admin force me to look for a better place to be, but still missing the great team that I left and a company that I loved.",3.0,5.0,5.0,4.0,3.0
585,"""A good foundation and comfortable life.""",I have been working at HP Inc.  for more than 3 years,The salary is good for the work involved. The hours are flexible. The people are mostly great to work with.,Slow growth opportunities and low raises at each promotion. Large company with lots of inefficient methods in-place. Work space is dwindling.,5.0,5.0,2.0,3.0,3.0
586,"""IT Specialist Junior""",I have been working at HP Inc. full-time for more than a year,401K. Paid Holidays. PTO (48 hours year).  Company picnic the first year .,"Frequent manager turn-over .  As a contractor, year to year contact. No pay raises. No bonuses. Can't support a family on these wages.",3.0,3.0,2.0,3.0,3.0
587,"""Great Company""",I worked at HP Inc. full-time,Loved working for HP. Great company and values to work with. Employees really have a voice and Management implements their feedback.,No Cons in the time I worked for this company.,5.0,5.0,5.0,4.0,4.0
588,"""OSA""",I worked at HP Inc. full-time for more than 5 years,"Benefits, vacation, great products, coworkers.","Lost in remote world, constant switching of management, low pay.",4.0,4.0,,3.0,3.0
589,"""Great People and great environment""",I worked at HP Inc. full-time for more than 10 years,"The people at HP are amazing -- the smartest and most interesting people I've met. The environment is also great. Good work-life balance. job sharing, flexible work schedules, etc.",Management vision and willingness to take big risks to do great things. It's getting better now.,5.0,5.0,4.0,5.0,4.0
590,"""Slow-moving, risk-averse dinosaur""",I have been working at HP Inc. full-time for more than 10 years,It's a respectful work culture. The people are nice and want to do the right thing all of the time. There's flexibility in work hours and locations. The technical work is interesting.,"Working at HP is like trying to swim in molasses. No matter how urgent or important a task is, internal processes thwart basic execution. Strategic vision (beyond 3D) is lacking. Executive leadership has very little structure to their decision-making, leading to a combination of rash, emotional risk-taking and terror-driven risk-avoidance. Getting things done requires hiding projects until finished and then delivering a value bomb at the end. That being said, they will probably keep chugging along for years to come from momentum.",,,,,
591,"""Great experience at HP Labs""",I worked at HP Inc. ,Still care about new directions,Building is a little old,4.0,4.0,4.0,5.0,4.0
592,"""Very good place to work""",I have been working at HP Inc. full-time for more than 8 years,Great place to work and there are many opportunities to move around,"For one of the largest tech companies in the world, they are behind on many of their own internal technologies.",4.0,4.0,5.0,4.0,4.0
593,"""Uncertainty""",I worked at HP Inc. full-time,"Opportunities can be varied across broad functions
Decent benefits","Years of change, disruption have created constant uncertainty",2.0,1.0,3.0,4.0,1.0
594,"""Marketing Communications Manager""",I have been working at HP Inc. full-time,"Culture,  international assignments, great agencies, diversity","Commoditization, complex organization, limited career growth",5.0,5.0,3.0,4.0,4.0
595,"""TC""",I have been working at HP Inc. full-time,"good company, with diverse employees",layoffs and so many changes within a short while,3.0,2.0,3.0,,2.0
596,"""Business Operations Analyst""",I worked at HP Inc. full-time for more than a year,Pretty good work life balance. Smart coworkers.,Not a great environment for young people. It isn't super diverse in terms of age.,4.0,3.0,3.0,4.0,3.0
597,"""Business Manager""",I have been working at HP Inc. full-time for more than 5 years,Great company after the separation from HPE.  Very focused business. Great benefits and opportunities for growth.,sometimes slow to adjust to the market changes as its such a large company.,3.0,4.0,4.0,4.0,3.0
598,"""Company perks""",I worked at HP Inc. ,Great Company very chill to work at,Modern technology still needs to be used,5.0,5.0,3.0,5.0,5.0
599,"""R&D Engineer""",I have been working at HP Inc. full-time for more than 5 years,"Good work life balance, competitive benefits",Slow to invest resources and take bets,5.0,4.0,3.0,4.0,3.0
600,"""Loved working there until the end""",I worked at HP Inc. full-time,"Awesome people,  continuous process improvement, mostly good management.","Cannot seem to adhere to a decision,  continuing to downsize, company footprint shrinking in many locations.",4.0,4.0,2.0,3.0,3.0
601,"""excellent place to work""",I have been working at HP Inc. full-time,"excellent place to work, flexibility",no cons  from my side,5.0,5.0,4.0,4.0,4.0
602,"""Good company to work for.""",I have been working at HP Inc.  for more than a year,Always team building trying to keep everyone engaged.,No much to say here.,4.0,4.0,4.0,4.0,4.0
603,"""It was a job""",I worked at HP Inc. full-time,steady work. car for customer service people.  3wks paid vacation to start. paid holidays.  great coworkers,"upper management does not understand the needs in the field.  layoffs, doesn't matter how good you are or how much the customers love you, when your numbers up, it's up.  Also large support territories, can drive up to 4 hrs per day.",2.0,2.0,2.0,3.0,1.0
604,"""Great company, great work environment""",I have been working at HP Inc. full-time,"Flexible schedule, friendly co-workers, relaxed environment",Not always on the latest trends,5.0,4.0,4.0,4.0,4.0
605,"""Good""",I have been working at HP Inc. full-time for more than 5 years,Job is challenging and customer facing. New products and capabilities are constantly offered      Plenty of new things to learn. Great products.,Opportunity for advancement is lacking. Support for customer facing roles does not meet or exceed expectations of the client. Could be more proactive when follow though is required.,2.0,4.0,2.0,2.0,3.0
606,"""Onsite Admin""",I worked at HP Inc. full-time for more than a year,It's an established company steeped in Silicon Valley history.  They've already gone through several layoffs so jobs should be secure if you are a regular employee.,After 2 years HP was unwilling to even consider offering a cost of living raise.  In fact it was made clear that this was a policy and that I would have to walk on water...,4.0,3.0,4.0,2.0,3.0
607,"""Uneven ground""",I worked at HP Inc. full-time,"There are a lot of opportunities, the company has a strong history, and it is a well respected brand","Unfortunately, recent changes resulted in the split, spin-offs, and a lot of financially motivated decision making.  I feel if you are in the part of the company that works on their core strategic initiatives, you are in a good position... for now.

As usual, working for a big company means a lot of red tape.  Working for a conservative, public company like HP means that there is a lot of strict legal guidance as well, which tend to slow innovation (you can't talk much about the future).",5.0,3.0,4.0,4.0,2.0
608,"""Director""",I have been working at HP Inc. full-time,HP is Very forward thinking and strategic,Very big and sometimes slow,5.0,4.0,4.0,4.0,3.0
609,"""Product Manager""",I have been working at HP Inc. full-time for more than 8 years,"After the split, the management team at HP, Inc. is genuinely trying hard to step up investments to re-frame the current businesses and invest in new categories","Unfortunately most of HP's current businesses are in extremely mature, hyper competitive  categories.  It is very difficult to rewire the value chain.",,,,,
610,"""Contributor""",I worked at HP Inc. full-time for more than 3 years,"Flexibility, advancement, salary, benefits, ability to work without being micro-managed","Global, bottom line - money",3.0,4.0,3.0,4.0,2.0
611,"""Great Company""",I have been working at HP Inc. full-time,"Decent compensation
Great benefits
Great work-life balance
Great people to work with",The typical large company set of issues,5.0,4.0,4.0,4.0,4.0
612,"""Good Working Environment""",I worked at HP Inc. full-time,"Collaborative work environment, wonderful colleagues, supportive management.",Need more IT support for system issues.,4.0,4.0,3.0,4.0,3.0
613,"""Decent Place to Work""",I have been working at HP Inc. full-time for more than a year,"Looks great on a resume
Fun people to work with
High volume experience","Pay is slightly less competitive than others
No benefits to employees
Secretive company culture",2.0,1.0,3.0,2.0,3.0
614,"""You get what you put in!""",I worked at HP Inc. full-time for more than 5 years,"Great employees with extensive expertise! Many way to expend and develop professionally and personally, if you are driven to work for it. Most employees love what they do.",Salary and raises are slightly below market and industry trends.,3.0,4.0,4.0,3.0,4.0
615,"""Loved Working Here""",I worked at HP Inc. full-time,Extensive potential to grow within the company,"Company has recently started focusing too much on the almighty dollar, and losing sight of how to attract and retain good workers and good customers.",3.0,3.0,4.0,4.0,2.0
616,"""Time to change""",I have been working at HP Inc. full-time,"Great People, training and development",Slow to change career opportunities limited,,,,,
617,"""Orthodox Industrial Level Management""",I worked at HP Inc. full-time,Peers are always friendly.,Management only cares about short term goals.  Way too much politics!,2.0,1.0,2.0,3.0,1.0
618,"""It's a good time to be at HP""",I have been working at HP Inc. full-time for more than 10 years,"Ever since the HP/HPE split, I've seen a focus at HP that I haven't seen in 15 years.  For the first time, there is a strong identity and razor-sharp focus on core strengths in the PC, Print, and Solutions businesses.  The result is the strongest product portfolio I've ever seen from HP and the freedom from having to be all things to all customers.

HP has a great legacy in the industry and Silicon Valley.  It treats employees and customers with honesty and respect.  It's a company that you can take pride in working for.","The famous ""HP Way"" culture has largely disappeared.  The current culture isn't bad, just bland.

Highly consensus-driven culture means lots of meetings and difficulty making decisions.  

Many product/projects are split between multiple teams and/or business units.  In some cases, you have to go all the way to a senior VP or even the CEO to find a single executive with end-to-end authority.  This can slow decisions and lead to misaligned incentives between teams.",4.0,4.0,4.0,4.0,4.0
619,"""Culture""",I have been working at HP Inc. full-time for more than 3 years,There are some very good people.   Meet a lot of managers who are interested in the development of their teams and willing to share their experience.,Often feels like HP gives up on new product ideas too early.  Feels like they have been hiring a lot of former consultants who are changing the culture but not necessarily in a positive direction,4.0,4.0,3.0,4.0,4.0
620,"""team lead developer""",I have been working at HP Inc. full-time for more than 8 years,"paternity 4 weeks, voluntary day off",Most of the process improvements are done by  external consultants,4.0,5.0,3.0,3.0,1.0
621,"""Executive Assistant""",I have been working at HP Inc. full-time for less than a year,"Brilliant minds (People & Team), Compensation - Market rate, Good Benefits, Work-Life Balance","Commute to Palo Alto, HQ.",4.0,4.0,4.0,4.0,4.0
622,"""HP Inc.""",I worked at HP Inc. full-time for more than 10 years,"Moderately good benefits, while they last.",Way  too quick to lay off employees in order to fix or finance bad decision making processes in upper management.,3.0,1.0,3.0,3.0,1.0
623,"""contractor""",I have been working at HP Inc. full-time for less than a year,The work environment is good,too much politics GOES ON,2.0,2.0,2.0,1.0,3.0
624,"""Project manager""",I have been working at HP Inc. full-time,"Good people, interesting job/projects.  Flexible schedule.","Sometimes very long hours, direction of company is unpredictable.",2.0,4.0,3.0,3.0,2.0
625,"""Work life balance""",I have been working at HP Inc. full-time,Flexible hours. Gym and canteen.,Lack of promotion opportunities. Pay freeze. Top performers at max of pay scale with no opportunity for development.,5.0,4.0,2.0,2.0,4.0
626,"""Field support tech""",I worked at HP Inc. full-time for more than 10 years,"Mostly great co-workers.  Car for onsite repair techs.  Training.  Online repair videos and training. Laptop, phone, tools and mobile hotspot provided.","car cost taken out of bi-weekly pay.   a LOT of driving (average 250 miles per day possible) no set yearly raises or bonuses.  No Christmas bonus, party or anything.  a lot of metrics that change without much notice.  Can be very high stress/pressure.",2.0,2.0,2.0,3.0,2.0
627,"""Good but room to improve""",I have been working at HP Inc. full-time for more than a year,Good benefits and perks. Good open door policy.,Few opportunities to grow. Rates should be revisisted.,4.0,4.0,2.0,3.0,5.0
628,"""HP Inc.  The remnants of a great SV company.""",I worked at HP Inc. full-time for more than 10 years,"The company has changed a lot since the good ole' days.  I spent 33 years there, and as a big company I had 8 careers by moving to and fro.    Be careful to make sure their current direction matches your own.","They missed mobile, and are struggling.   When growth is not there, there is a lot of pressure on costs.",5.0,4.0,3.0,3.0,2.0
629,"""Optimistic about new company's future""",I have been working at HP Inc. full-time for more than 10 years,Large company with lots of opportunity to do different jobs; pockets of good people with tremendous backgrounds and successes; undergoing lots of good change; delivering results,"Politics; unfair hiring and promotions including high pay for new external hires at xecutive levels but keeping existing internal candidates pay low and very limited internal promotions. Lots of politics, executive personality ""conflicts""",2.0,2.0,3.0,2.0,2.0
630,"""Among the Tech Giants, This Is the Best Place to Work""",I have been working at HP Inc. full-time for more than a year,"I've worked for many  tech companies over the years and the management here is the best. They enable and encourage the team to explore new ideas and pioneer new marketing techniques. They have your back so it's a secure working environment. And perhaps best of all, the culture at HP is respectful and professional. It's a breath of fresh air.",The overall package at HP is pretty good but their salaries are not the highest in the space. People work there and never leave because they love working there.,5.0,5.0,4.0,3.0,5.0
631,"""An unhealthy workplace""",I worked at HP Inc. full-time for more than a year,Emphasis on work life balance,"A very negative environment, management lacks vision, and necessary leadership qualities, very poor tools to work with.",3.0,1.0,1.0,1.0,1.0
632,"""Engineer""",I have been working at HP Inc. full-time,Some work life balance in some areas,"There is no career growth at this company or if it is is extremely slow. Often management prefers to close vacant positions than to promote someone. Salary increases and bonus are very bad if any. The R&D is bad, tight deadlines, low budget, and they pr get to ship n unfinished/imperfect product (printers and presses) than investing in R&D. They often shelve programs just because they decide to save money.",3.0,1.0,1.0,1.0,1.0
633,"""Great entry level for professional development in IT.""",I worked at HP Inc. full-time for more than 3 years,"Staff, autonomy for working at home, travel, never the same place each day, benefits and company vehicle new every 2 years through Ford.",Just when you get everything down you don't get to see your growth because they typically layoff the best field engineers.,3.0,2.0,3.0,3.0,3.0
634,"""The good and the bad""",I have been working at HP Inc. full-time for more than 10 years,"Some groups have flexible work times, and even WfH. Others are more strict and must be in the office each day. Pay is average, nothing great. HPI is moving to a new campus in fall 2018, and that will be exciting. New Office environment, office of the future, ergonomic spaces, etc. Lots of focus on hiring ""early career"" talent.","Still have some good ole boys network activity going on. Minimal women in senior leadership positions with P&L resp (women are in Legal, HR, etc.).  As with all big companies, lots of politics.",3.0,4.0,3.0,2.0,3.0
635,"""HR""",I have been working at HP Inc. full-time for more than 10 years,"Culture, values  flexible, benefits, my manager",Past workforce reductions have had residual effects to morale but business outlook is helping to stabalize.,5.0,5.0,4.0,4.0,5.0
636,"""Partner Business Manager""",I worked at HP Inc. full-time,A lot of networking resources,At times pricing can be slow turn around,3.0,3.0,3.0,3.0,3.0
637,"""Typical corporate job""",I have been working at HP Inc. full-time,"There really is only one reason I continue to work for this company, I have a very flexible schedule.",Layers upon layers of managers.,5.0,2.0,2.0,2.0,2.0
638,"""Good work culture""",I have been working at HP Inc. full-time for more than 3 years,Respect for people and ethical work environment,Review the Compensation structures to be more competitive,3.0,4.0,4.0,3.0,4.0
639,"""Great learning experience!""",I worked at HP Inc. full-time for more than 5 years,"Great learning environment, intelligent co-workers, mostly good management team, interesting travel, no real cons, however company was absorbed by HP, so cannot really comment beyond this point","Ever changing technology, massive support burden to assist customers and increasing complexity. There are no more cons to this, but there is no way to know if someone will or will not do this",3.0,3.0,3.0,3.0,3.0
640,"""Long time employee""",I have been working at HP Inc. full-time,"Great Medical Benefits - better than industry
Great Location - multiple locations in United States and globally
Company reinventing - updating their brand image","Somewhat Bureaucratic - a carryover from Hewlett Packard days
Career growth slow right now as company establishes itself after separation from Hewlett Packard",,,,,
641,"""Great team and work culture""",I have been working at HP Inc. full-time for more than 3 years,"good work culture (atleast in the WW channel org)
flexible timings
work ethics are great
good work/life balance",not very competitive with compensation/benefits,5.0,5.0,4.0,3.0,5.0
642,"""Best corporate culture: Zero ego, high collaboration""",I have been working at HP Inc. full-time for more than a year,"The people are super smart, yet not at all arrogant (as compared to so many other Silicon Valley types).  The best part is how collaborative everyone is.",Office spaces are a throwback to the 60s (a la Madmen),5.0,5.0,5.0,5.0,5.0
643,"""Good engineers and scientists, but no clear R&D roadmap""",I worked at HP Inc. full-time for more than a year,"R&D people are intelligent, enjoyable to work with. Good benefits. Perks such as matching contributions to charities of your choice.","Enormous company where the right hand doesn't know what the left is doing. Execs don't seem very interested in what the R&D teams are up to. Primary company focus is consumer electronics and printing, yet HP was late to the game on 3-D printing and seems to have totally missed the boat on consumer VR. This is telling of the lack of insight from those who should be directing research.",4.0,3.0,3.0,4.0,2.0
644,"""Great products, excellent work - life balance.""",I have been working at HP Inc. full-time,"Great work-life balance, working hard, but enjoying surroundings. A lot of sports activities on site.  Super events, celebrating success.",Little opportunities to move up in the organisation.,5.0,5.0,2.0,3.0,4.0
645,"""Technical Consultant""",I worked at HP Inc. full-time for more than 10 years,Excelent  company with good salaries and benefits.,Very bureaucratic. Simple process become difficult.,,,,,
646,"""Former Employer""",I worked at HP Inc. full-time for more than 10 years,HP was very good about allowing remote work.,The outsourcing has degraded the quality of the work.,4.0,1.0,3.0,3.0,3.0
647,"""HP Inc""",I have been working at HP Inc. full-time,Great people and opportunities if you work hard,A lot of red tape,4.0,5.0,4.0,3.0,3.0
648,"""Bleeding great talent""",I have been working at HP Inc. full-time for more than 10 years,"Better work life balance than comparable Tier 1 tech companies.  Managers understand ""family  first "". Talented  workforce  that respects each other.","Less than average pay. Bad stock purchase plan. No notable perks .  Shifting priorities. Layoffs occur every other year, losing a lot of great talent.",3.0,3.0,3.0,1.0,3.0
649,"""Renewed vision.""",I worked at HP Inc. full-time for more than 10 years,"Tremendous focus on employee work/life balance, health, and growth.
Flexible work hours and occasional remoting.
Very skilled mid level management.","Jobs risky until the new strategy finishes executing.
Upper management unconcerned about laying off highly skilled employees.",5.0,4.0,4.0,4.0,3.0
650,"""Great company, no room for growth""",I have been working at HP Inc. full-time for more than 10 years,"Benefits are decent and have improved during the last couple of years.
People are smart and hard working; most of them are nice too.
Work flexibility is great.",Very limited opportunity for growth.,5.0,4.0,1.0,3.0,4.0
651,"""Great Company""",I have been working at HP Inc. full-time for more than 8 years,"Flexibility, good salary, great benefits, ethics above everything","several management layers, slow decision-taking, poor career opportunities.",4.0,4.0,3.0,4.0,4.0
652,"""Regional Sales/Pursuit Director""",I have been working at HP Inc. full-time for more than 8 years,Culture/ Innovation and commitment to success both personally and professionally,Long tenured employee's that lead to a lot of beauracy,3.0,5.0,3.0,4.0,3.0
653,"""Do it for the stockholders""",I have been working at HP Inc. full-time for more than 10 years,"Good work/life balance, flexible work hours, ability to work from home if needed, good people, some interesting products, reasonable environment.","Last quarter the company returned all free cash flow in dividends and buybacks.  That does not leave much for R&D.  
Pay bands in my BU are very misleading because even average folks earn less than average pay.  Mgmt says that is the norm.  Overall pay seems a bit lower than the industry.
Currently compressing folks into smaller cubes with short walls and small group spaces to be more inviting to younger employees is the claim.  Employees are expecting high noise levels that will reduce productivity.   
Selling company property and leasing back space to raise cash - San Diego, Boise, Dublin.
Was handed a pile of debt when split between HP and Hewlett-Packard Enterprise.
San Diego site may be gone in 5 - 7 years.",5.0,4.0,3.0,2.0,3.0
654,"""HP is a decent company""",I have been working at HP Inc. full-time,Good work environment with quarterly events.,Bureaucracy can sometimes get in the way.,4.0,5.0,3.0,2.0,4.0
655,"""Good place to work""",I worked at HP Inc. full-time,"Good work life balance and decent benefits, including 3 week vacation starting.  Management makes an effort to engage employees.","Can feel stagnant, and excitement isn't equally distributed across all groups/projects.",5.0,4.0,5.0,5.0,5.0
656,"""Senior Pricing and Product analyst""",I have been working at HP Inc.  for more than 3 years,This is a Worldwide tool,HP is great company and thanks for everything,5.0,3.0,3.0,3.0,4.0
657,"""Vice President and HP Fellow, Head of Emerging Compute Lab""",I have been working at HP Inc. full-time for less than a year,Ability to drive Innovation and Leadership,Driving beyond devices and moving to services,4.0,5.0,4.0,4.0,4.0
