,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
403,"""Sr. Software Engineer""",I worked at Samsung Electronics full-time,"Good benefits (health insurance, free food, etc)",You may not go home today. Have to do overtime work.,1.0,2.0,4.0,4.0,2.0
404,"""sales manager""",I have been working at Samsung Electronics full-time,"fun, cultivative atmosphere, everchanging, learn lots of tech, great for the resume","no work life balance, demanding, no room to grow",1.0,3.0,1.0,4.0,1.0
405,"""Overall a good company""",I worked at Samsung Electronics full-time for more than a year,"good benefits, generous time-off, health benefits","work is overload, high stress with aggressive sales target",2.0,3.0,4.0,4.0,3.0
406,"""Field Engineer...""",I worked at Samsung Electronics full-time,You will get a lot of experience from this company if you are work in the field. There are a lot of problems you need solve and as you solve them you are learning and growing,work and life balance is not guaranteed and you are relocated frequently,2.0,4.0,3.0,4.0,3.0
407,"""Samsung""",I worked at Samsung Electronics full-time,"Awesome place to work, Had a lot of fun",There was no cons. Great Place to work,5.0,5.0,5.0,5.0,5.0
408,"""Great Culture""",I worked at Samsung Electronics full-time,"Great culture and management, was very pleased with the environment","Long work hours, however we had breaks.",5.0,5.0,5.0,5.0,5.0
409,"""Customer Service Department""",I have been working at Samsung Electronics full-time,None. Has been a very poor experience.,Disjointed experience. Managers do not know what they want.,,,,,
410,"""Good company to work for""",I worked at Samsung Electronics ,"Ownership, good benefits, a lot of internal opportunity and ability to work the asia team,  variety of product groups, top talent","Work life balance, limited opportunity in promotion, too many leaders, high goal that can't be reached, unnecessary security standards rule",,,,,
411,"""Nice cafeteria""",I worked at Samsung Electronics full-time,"Good salary, great work environment","Poor job security, tight schedule",,,,,
412,"""It was a nice experience""",I worked at Samsung Electronics ,very organized company to start career with,"low salary, sometimes fires a lot of people",3.0,5.0,3.0,3.0,2.0
413,"""Senior Software Engineer""",I worked at Samsung Electronics full-time,Great work culture and team coordination.,Sometimes not given opportunity to showcase the talent you have.,,,,,
414,"""Supply Chain Analyst""",I worked at Samsung Electronics ,"Great perks, Good recognition in the industry","Bad work life balance, long working hours",3.0,3.0,4.0,4.0,3.0
415,"""Good Benefit!""",I have been working at Samsung Electronics full-time for more than 5 years,Samsung Austin Semiconductor offers pretty good benefits and bonus!,Very fast phased working environment. Stressful...,3.0,2.0,3.0,4.0,3.0
416,"""Financial Coordinator II""",I have been working at Samsung Electronics full-time for less than a year,"Great opportunity with flexible working hour options and a great environment. Also, compensation both salary and bonus way above the normal",Have not found any Cons yet.,5.0,5.0,4.0,5.0,5.0
417,"""ASIC Engineer""",I worked at Samsung Electronics full-time,"Great Team, great compensation package","No any issues, it is a great company",5.0,4.0,4.0,5.0,4.0
418,"""New Role""",I worked at Samsung Electronics full-time,This was my first time as backend Sr. SDE role.  I felt I was able to contribute towards back end improvements and to automation engineering.  Great team and learning experience!,I felt seriously undermined as I had previously had very little LAMP experience but quickly overcame these shortcomings.  Focused on areas which were my strong points and guided the team.,4.0,4.0,4.0,4.0,4.0
419,"""intern""",I worked at Samsung Electronics ,Great experience during my internship at Samsung,"no full time jobs, I was told that I will be hired but never moved forward",3.0,4.0,4.0,5.0,5.0
420,"""Company ok""",I worked at Samsung Electronics full-time,paid vacation time is good,decision made from south korea,3.0,3.0,1.0,3.0,4.0
421,"""Working as a Engineer at Samsung""",I have been working at Samsung Electronics full-time for more than a year,The work is easy. The people are laid back. Managers don't get on your case about much. Anyone can adapt to this place.,"Management will never give you a clear cut answer. They beat around the bush. It's very segregated here. It's either your one of us or you're not. Many people quit because they are operating this like how they would work in Korea. They want you to get everything done, but don't want you to work over time.",1.0,2.0,4.0,4.0,2.0
422,"""Software Engineer""",I worked at Samsung Electronics full-time,Best consumer product and semiconductor company,rigid culture and it's not a software company,2.0,3.0,3.0,3.0,2.0
423,"""Great""",I worked at Samsung Electronics full-time for more than a year,25% off on all line of products especially mobile phones,"Hectic, Too much focus on security",3.0,4.0,4.0,5.0,3.0
424,"""Different depends on your business unit""",I worked at Samsung Electronics full-time,"- Good reputation
- Decent compensation","- Rigid hierarchy
- Prevalent bureaucratism",1.0,3.0,4.0,3.0,3.0
425,"""Manager""",I worked at Samsung Electronics full-time,"Good benefit - Insurance, 401K, salary","Rigid culture, Bad work & life balance",3.0,2.0,3.0,5.0,3.0
426,"""Head of Executive Search""",I have been working at Samsung Electronics full-time for more than 3 years,Most challenging environment to do something big,There are no cons to share!,,,,,
427,"""Solid Company""",I have been working at Samsung Electronics full-time,"Overall, strong portfolio and growing business","Leadership and internal innovation could improve,",3.0,2.0,3.0,4.0,4.0
428,"""System Software Development""",I worked at Samsung Electronics full-time,Salary is above market level,"Work Culture is not good
Work Hours not flexible",2.0,1.0,3.0,4.0,1.0
429,"""Great Place to work""",I have been working at Samsung Electronics  for more than a year,Challenging enviroment Challenging enviroment Challenging enviroment,Work overload Work overload Work overload,3.0,5.0,4.0,4.0,4.0
430,"""good place to work for your furture""",I worked at Samsung Electronics  for more than 3 years,you can learn a lot from the leading company,no work and life balance,2.0,3.0,4.0,4.0,3.0
431,"""Process Engineer""",I worked at Samsung Electronics full-time,Salary and benefits were good.,The culture of company was not very good.,4.0,4.0,4.0,4.0,4.0
432,"""Intense culture""",I have been working at Samsung Electronics full-time,"Highly innovative, great experience in short time, cool products","Intense workloads, rigid processes driven, virtually no career development",1.0,2.0,1.0,4.0,3.0
433,"""Marketing and multi media associate""",I worked at Samsung Electronics ,"people, culture, professional, fun, challenging","demanding, tiring, dull, repetitive, boring",2.0,3.0,2.0,4.0,2.0
434,"""review""",I worked at Samsung Electronics ,Reasonable salaries and good work environment,Amount of workload and night shifts,,,,,
435,"""Prodcut Managment""",I worked at Samsung Electronics full-time,"Resources, opportunity, development, team working and collaboration.","Bad life-work balance, strong and aggressive working culture.",2.0,3.0,3.0,2.0,3.0
436,"""Job Security International exposure""",I worked at Samsung Electronics full-time,"+ Job Security
+ International exposure.
+ Work on latest market trend",- slow processing due to large size of the company,4.0,4.0,4.0,4.0,4.0
437,"""Engineer""",I have been working at Samsung Electronics full-time for more than 3 years,There are many great ideas come out from surrounding colleagues.,This company should be more open and introduce less competency inside.,,,,,
438,"""Product Marketer""",I worked at Samsung Electronics full-time for more than 3 years,"- You get to work at one of the most advanced and innovative companies in the world
- If you are a global person, they like you","- They push you very hard, because they always have to be #1 at everything
- Some people are demanding and not understandable",2.0,5.0,3.0,5.0,4.0
439,"""Stressful employment""",I worked at Samsung Electronics full-time,"Benefits were good.  Apart from this, the only good thing that I can look back to were the people I worked with there.","About 90% of the people I worked with here was stressed out at work.  Everyone has a work load that is more than one can handle in a day's work.  It felt like they were setting you up to fail, so that they can terminate your employment",,,,,
